indice_tiempo,medio_de_transporte,pais_origen,viajes_de_turistas_no_residentes
2011-06-01,Terrestre,EE.UU. y Canadá,1802
2011-06-01,Terrestre,Resto de América,9812
2011-06-01,Terrestre,Europa,8217
2011-06-01,Terrestre,Resto del mundo,2507
2011-07-01,Aérea,Bolivia,6052
2011-07-01,Aérea,Brasil,107660
2011-07-01,Aérea,Chile,28174
2011-07-01,Aérea,Paraguay,6651
2011-07-01,Aérea,Uruguay,6112
2011-07-01,Aérea,EE.UU. y Canadá,21926
2011-07-01,Aérea,Resto de América,41110
2011-07-01,Aérea,Europa,29796
2011-07-01,Aérea,Resto del mundo,8526
2011-07-01,Fluvial/Marítima,Bolivia,4006
2011-07-01,Fluvial/Marítima,Brasil,12612
2011-07-01,Fluvial/Marítima,Chile,864
2011-07-01,Fluvial/Marítima,Paraguay,6646
2011-07-01,Fluvial/Marítima,Uruguay,51596
2011-07-01,Fluvial/Marítima,EE.UU. y Canadá,2586
2011-07-01,Fluvial/Marítima,Resto de América,6972
2011-07-01,Fluvial/Marítima,Europa,4167
2011-07-01,Fluvial/Marítima,Resto del mundo,1181
2011-07-01,Terrestre,Bolivia,21325
2011-07-01,Terrestre,Brasil,30257
2011-07-01,Terrestre,Chile,70164
2011-07-01,Terrestre,Paraguay,54848
2011-07-01,Terrestre,Uruguay,42802
2011-07-01,Terrestre,EE.UU. y Canadá,2087
2011-07-01,Terrestre,Resto de América,10770
2011-07-01,Terrestre,Europa,11730
2011-07-01,Terrestre,Resto del mundo,2830
2011-08-01,Aérea,Bolivia,4532
2011-08-01,Aérea,Brasil,83789
2011-08-01,Aérea,Chile,22596
2011-08-01,Aérea,Paraguay,5889
2011-08-01,Aérea,Uruguay,4973
2011-08-01,Aérea,EE.UU. y Canadá,22147
2011-08-01,Aérea,Resto de América,34159
2011-08-01,Aérea,Europa,38019
2011-08-01,Aérea,Resto del mundo,10556
2011-08-01,Fluvial/Marítima,Bolivia,3042
2011-08-01,Fluvial/Marítima,Brasil,7172
2011-08-01,Fluvial/Marítima,Chile,738
2011-08-01,Fluvial/Marítima,Paraguay,5658
2011-08-01,Fluvial/Marítima,Uruguay,29496
2011-08-01,Fluvial/Marítima,EE.UU. y Canadá,1744
2011-08-01,Fluvial/Marítima,Resto de América,5402
2011-08-01,Fluvial/Marítima,Europa,4387
2011-08-01,Fluvial/Marítima,Resto del mundo,993
2011-08-01,Terrestre,Bolivia,15136
2011-08-01,Terrestre,Brasil,19764
2011-08-01,Terrestre,Chile,29097
2011-08-01,Terrestre,Paraguay,45625
2011-08-01,Terrestre,Uruguay,21381
2011-08-01,Terrestre,EE.UU. y Canadá,1999
2011-08-01,Terrestre,Resto de América,8307
2011-08-01,Terrestre,Europa,13723
2011-08-01,Terrestre,Resto del mundo,3288
2011-09-01,Aérea,Bolivia,4546
2011-09-01,Aérea,Brasil,87222
2011-09-01,Aérea,Chile,24245
2011-09-01,Aérea,Paraguay,5979
2011-09-01,Aérea,Uruguay,6465
2011-09-01,Aérea,EE.UU. y Canadá,18634
2011-09-01,Aérea,Resto de América,36506
2011-09-01,Aérea,Europa,38124
2011-09-01,Aérea,Resto del mundo,11782
2011-09-01,Fluvial/Marítima,Bolivia,2954
2011-09-01,Fluvial/Marítima,Brasil,9488
2011-09-01,Fluvial/Marítima,Chile,998
2011-09-01,Fluvial/Marítima,Paraguay,7335
2011-09-01,Fluvial/Marítima,Uruguay,35057
2011-09-01,Fluvial/Marítima,EE.UU. y Canadá,1730
2011-09-01,Fluvial/Marítima,Resto de América,6198
2011-09-01,Fluvial/Marítima,Europa,4610
2011-09-01,Fluvial/Marítima,Resto del mundo,1170
2011-09-01,Terrestre,Bolivia,13833
2011-09-01,Terrestre,Brasil,23902
2011-09-01,Terrestre,Chile,53676
2011-09-01,Terrestre,Paraguay,44281
2011-09-01,Terrestre,Uruguay,26835
2011-09-01,Terrestre,EE.UU. y Canadá,2039
2011-09-01,Terrestre,Resto de América,9157
2011-09-01,Terrestre,Europa,12664
2011-09-01,Terrestre,Resto del mundo,4228
2011-10-01,Aérea,Bolivia,5073
2011-10-01,Aérea,Brasil,76303
2011-10-01,Aérea,Chile,28115
2011-10-01,Aérea,Paraguay,6693
2011-10-01,Aérea,Uruguay,5560
2011-10-01,Aérea,EE.UU. y Canadá,19408
2011-10-01,Aérea,Resto de América,37716
2011-10-01,Aérea,Europa,38037
2011-10-01,Aérea,Resto del mundo,13423
2011-10-01,Fluvial/Marítima,Bolivia,3548
2011-10-01,Fluvial/Marítima,Brasil,9067
2011-10-01,Fluvial/Marítima,Chile,1280
2011-10-01,Fluvial/Marítima,Paraguay,6420
2011-10-01,Fluvial/Marítima,Uruguay,36504
